Headword,FullFormDisplay,FullFormNormalized,PartOfSpeech,NotesForeign,Meanings,NumberOfMeanings,NotesNative,MnemonicHint,PronunciationText,AudioUrl,ReferenceBook,ReferenceSection,Exercise1Front,Exercise1Back,Exercise2Front,Exercise2Back,Exercise3Front,Exercise3Back,Tags
clamare,"clāmāre, clāmō","clamare, clamo",Verb,,"laut rufen, schreien",2,,,,,Campus C1,13,,,,,,,
clamor,"clāmor, clāmōris","clamor, clamoris",Nomen,m,"das Geschrei, der Lärm",2,,,,,Campus C1,19,,,,,,,
clarus,"clārus, a, um","clarus, a, um",Adjektiv,,"klar, hell, berühmt",3,,,,,Campus C1,15,,,,,,,Top500
clementia,"clēmentia, clēmentiae","clementia, clementiae",Nomen,,"die Milde, die Nachsicht",2,,,,,Campus C1,9,,,,,,,
cogitare,"cōgitāre, cōgitō","cogitare, cogito",Verb,,"denken, beabsichtigen",2,,,,,Campus C1,30,,,,,,,
comes,"comes, comitis","comes, comitis",Nomen,m/f,"der (die) Begleiter(in), der Gefährte, die Gefährtin",3,,,,,Campus C1,32,,,,,,,
communis,"commūnis, e","communis, e",,,"gemeinsam, allgemein",2,,,,,Campus C1,35,,,,,,,Top500
complere,"complēre, compleō, complēvī","complere, compleo, complevi",Verb,,"anfüllen, auffüllen",2,,,,,Campus C1,6;25,,,,,,,
comprehendere,"comprehendere, comprehendō, comprehendī","comprehendere, comprehendo, comprehendi",Verb,,"begreifen, ergreifen, festnehmen",3,,,,,Campus C1,24;27,,"comprehendō, comprehendī",,,,,
concedere,"concēdere, concēdō, concessī","concedere, concedo, concessi",Verb,,"erlauben, nachgeben, zugestehen",3,,,,,Campus C1,36,,,,,,,
concordia,"concordia, concordiae","concordia, concordiae",Nomen,,"die Eintracht, die Einigkeit",2,,,,,Campus C1,37,,,,,,,
Concordia,Concordia,Concordia,,,Concordia (Göttin der Eintracht),1,,,,,Campus C1,11,,,,,,,
condere,"condere, condō, condidī","condere, condo, condidi",Verb,,"verwahren, verbergen; erbauen, gründen",4,,,,,Campus C1,34,,,,,,,
confirmare,"cōnfirmāre, cōnfirmō","confirmare, confirmo",Verb,,"bekräftigen, ermutigen, stärken",3,,,,,Campus C1,37,,,,,,,
consilium,"cōnsilium, consilii","consilium, consilii",Nomen,,"die Beratung, der Beschluss, der Plan, der Rat",4,,,,,Campus C1,11,,consilii,,,,,Top500
consilium capere,cōnsilium capere,consilium capere,,,einen Plan (Entschluss) fassen,1,,,,,Campus C1,27,,,,,,,
consistere,"cōnsistere, cōnsistō, cōnstitī","consistere, consisto, constiti",Verb,,"stehenbleiben, haltmachen, sich aufstellen",3,,,,,Campus C1,17;29,,,,,,,Top500
constat,cōnstat,constat,,,"es ist bekannt, es steht fest",2,,,,,Campus C1,29,,,,,,,
contendere,"contendere, contendō, contendī","contendere, contendo, contendi",Verb,,"sich anstrengen, kämpfen; eilen; behaupten",4,,,,,Campus C1,34,,,,,,,Top500
convenire,"convenīre, conveniō, convēnī","convenire, convenio, conveni",Verb,,"zusammenkommen, zusammenpassen, besuchen",3,,,,,Campus C1,30,,,,,,,Top500
copia,"cōpia, cōpiae","copia, copiae",Nomen,,"die Menge, der Vorrat, die Möglichkeit; Pl. die Truppen",4,,,,,Campus C1,6;35,,,,,,,Top500
creare,"creāre, creō","creare, creo",Verb,,"erschaffen, wählen",2,,,,,Campus C1,18,,,,,,,
credere,"crēdere, crēdō, crēdidī","credere, credo, credidi",Verb,,"glauben, anvertrauen",2,,,,,Campus C1,35,,,,,,,Top500
Creta,Crēta,Creta,,,Kreta (griech. Insel),1,,,,,Campus C1,10,,,,,,,
crudelis,"crūdēlis, e","crudelis, e",,,grausam,1,,,,,Campus C1,33,,,,,,,
cui?,cui?,cui?,,,wem?,1,,,,,Campus C1,5,,,,,,,
cum (m. Abl.),cum (m. Abl.),cum (m. Abl.),Präposition,Präp. m. Abl.,"mit, zusammen mit",2,,,,,Campus C1,12,,Präp. m. Abl.,,,,,Top500
cum (Subj.),cum (Subj.),cum (Subj.),Subjunktion,Subj.,als (plötzlich); (immer) wenn,2,,,,,Campus C1,25,,Subj.,,,,,Top500
cuncti,"cūnctī, ae, a","cuncti, ae, a",,,alle (zusammen),1,,,,,Campus C1,14,,,,,,,
cur?,cūr?,cur?,,,warum?,1,,,,,Campus C1,2,,,,,,,Top500
cura,"cūra, cūrae","cura, curae",Nomen,,"die Pflege, die Sorge",2,,,,,Campus C1,36,,,,,,,Top500
curare,"cūrāre, cūrō, cūrāvī","curare, curo, curavi",Verb,,"pflegen, sorgen für",2,,"Kur, kurieren",,,Campus C1,24,,"cūrō, cūrāvī",,,,,
curia,"cūria, cūriae","curia, curiae",Nomen,,die Kurie (Sitzungsgebäude des Senats),1,,,,,Campus C1,11,,,,,,,
dare,"dare, dō, dedī","dare, do, dedi",Verb,,geben,1,,,,,Campus C1,20;28,,,,,,,Top500
de,dē,de,Präposition,Präp. m. Abl.,"von, von ... her, von ... weg, von ... herab; über",5,,,,,Campus C1,14,,,,,,,Top500
de salute desperare,dē salūte dēspērāre,de salute desperare,,,die Hoffnung auf Rettung aufgeben,1,,,,,Campus C1,31,,,,,,,
dea,"dea, deae","dea, deae",Nomen,,die Göttin,1,,,,,Campus C1,11,,,,,,,
debere,dēbēre,debere,,,"müssen, sollen",2,,,,,Campus C1,2,,,,,,,Top500
decem,decem,decem,,indekl.,zehn,1,,,,,Campus C1,14,,,,,,,
decimus,"decimus, a, um","decimus, a, um",Adjektiv,,"der (die, das) zehnte",2,,,,,Campus C1,23,,,,,,,
deducere,"dēdūcere, dēdūcō, dēdūxī","deducere, deduco, deduxi",Verb,,"wegführen, hinführen",2,,,,,Campus C1,23,,"dēdūcō, dēdūxī",,,,,
deesse,"dēesse, dēsum","deesse, desum",,,"abwesend sein, fehlen",2,,,,,Campus C1,23,,,,,,,
defendere,"dēfendere, dēfendō, dēfendī","defendere, defendo, defendi",Verb,ā m. Abl.,"abwehren, verteidigen (vor / gegen)",2,,,,,Campus C1,33,,,,,,,Top500
delectare,"dēlectāre, dēlectō","delectare, delecto",Verb,,"erfreuen, unterhalten",2,,,,,Campus C1,8,,,,,,,
delere,"dēlēre, dēleō, dēlēvī","delere, deleo, delevi",Verb,,"zerstören, vernichten",2,,,,,Campus C1,6;25,,,,,,,
deligere,"dēligere, dēligō, dēlēgī","deligere, deligo, delegi",Verb,,(aus)wählen,1,,,,,Campus C1,34,,,,,,,
demonstrare,"dēmōnstrāre, dēmōnstrō","demonstrare, demonstro",Verb,,"beweisen, darlegen",2,,,,,Campus C1,31,,,,,,,
descendere,"dēscendere, dēscendō, dēscendī","descendere, descendo, descendi",Verb,,herabsteigen,1,,,,,Campus C1,17;27,,,,,,,
desiderare,"dēsīderāre, dēsīderō","desiderare, desidero",Verb,,"sich sehnen nach, vermissen",2,,,,,Campus C1,10,,,,,,,
deus,"deus, dei","deus, dei",Nomen,,"der Gott, die Gottheit",2,,,,,Campus C1,6,,,,,,,Top500
di!,dī!,di!,,Vok.,(oh) Götter!,1,,,,,Campus C1,25,,,,,,,
Diana,Diāna,Diana,,,Diana (Göttin der Jagd),1,,,,,Campus C1,21,,,,,,,
dicere,"dīcere, dīcō, dīxī","dicere, dico, dixi",Verb,,"sagen, sprechen",2,,"diktieren, Diktat",,,Campus C1,16;27,,"dīcō, dīxī",,,,,Top500
Dido,"Dīdō, ōnis","Dido, onis",Nomen,f,Dido (Königin Karthagos),1,,,,,Campus C1,30,,,,,,,
discipulus,"discipulus, discipuli","discipulus, discipuli",Nomen,,der Schüler,1,,,,,Campus C1,11,,,,,,,
diu,diū,diu,Adverb,Adv.,lange (Zeit),1,,,,,Campus C1,7,,,,,,,Top500
docere,"docēre, doceō","docere, doceo",Verb,,"lehren, unterrichten",2,,,,,Campus C1,3,,,,,,,
dolere,dolēre,dolere,,,"schmerzen, wehtun",2,,,,,Campus C1,2,,,,,,,
dolere (m. Abl.),dolēre (m. Abl.),dolere (m. Abl.),,m. Abl.,traurig sein über,1,,,,,Campus C1,28,,,,,,,
dolor,"dolor, dolōris","dolor, doloris",Nomen,m,der Schmerz,1,,,,,Campus C1,22,,,,,,,Top500
dolus,"dolus, doli","dolus, doli",Nomen,,"die List, die Täuschung",2,,,,,Campus C1,9,,,,,,,
domina,"domina, dominae","domina, dominae",Nomen,,"die Herrin, die Dame",2,,,,,Campus C1,8,,,,,,,
dominus,"dominus, domini","dominus, domini",Nomen,,der Herr,1,,,,,Campus C1,3,,,,,,,Top500
donum,"dōnum, dōni","donum, doni",Nomen,,das Geschenk,1,,,,,Campus C1,11,,,,,,,
dubitare,"dubitāre, dubitō","dubitare, dubito",Verb,,zweifeln; zögern (m. Inf.),2,,,,,Campus C1,9,,,,,,,Top500
ducere,"dūcere, dūco, dūxī","ducere, duco, duxi",Verb,,"führen, ziehen",2,,,,,Campus C1,16;27,,,,,,,Top500
dulcis,"dulcis, e","dulcis, e",,,"angenehm, süß",2,,,,,Campus C1,33,,,,,,,
dum,dum,dum,Subjunktion,Subj.,"während, solange, bis",3,,,,,Campus C1,19,,,,,,,Top500
duo,"duo, duae, duo","duo, duae, duo",,,"zwei, beide",2,,,,,Campus C1,16,,,,,,,Top500
duodecim,duodecim,duodecim,,indekl.,zwölf,1,,,,,Campus C1,27,,,,,,,
e / ex,ē / ex,e / ex,Präposition,Präp. m. Abl.,"aus, von ... her",2,,,,,Campus C1,12,,,,,,,Top500
ea hora,eā hōrā,ea hora,,,in dieser Stunde,1,,,,,Campus C1,28,,,,,,,
ecce,ecce,ecce,,,schau! sieh da! schaut! seht da!,1,,,,,Campus C1,22,,,,,,,
educere,"ēdūcere, ēdūcō","educere, educo",Verb,,herausführen,1,,,,,Campus C1,23,,,,,,,
ego,ego,ego,,Nom.,ich (betont),1,,,,,Campus C1,13,,,,,,,Top500
enim,enim,enim,,nachgestellt,"nämlich, denn",2,,,,,Campus C1,18,,,,,,,Top500
eo,eō,eo,Adverb,Adv.,dorthin; deswegen,2,,,,,Campus C1,37,,,,,,,Top500
eo anno,eō annō,eo anno,,,in diesem Jahr,1,,,,,Campus C1,28,,,,,,,
equus,"equus, equi","equus, equi",Nomen,,das Pferd,1,,,,,Campus C1,1,,equi,,,,,Top500
ergo,ergō,ergo,Adverb,Adv.,"also, deshalb",2,,,,,Campus C1,34,,,,,,,Top500
errare,"errāre, errō","errare, erro",Verb,,"umherirren, (sich) irren",2,,,,,Campus C1,13,,,,,,,
esse,"esse, sum, fuī","esse, sum, fui",,,"sein, sich befinden",2,,,,,Campus C1,2;25,,"sum, fuī",,,,,Top500
est,est,est,,,"er (sie, es) ist",2,,,,,Campus C1,2,,,,,,,
et,et,et,,,"und, auch",2,,,,,Campus C1,1,,,,,,,Top500
et ... et,et ... et,et ... et,,,sowohl ... als auch,1,,,,,Campus C1,35,,,,,,,Top500
etiam,etiam,etiam,,,"auch, sogar",2,,et + iam,,,Campus C1,5,,,,,,,Top500
etsi,etsī,etsi,,,"auch wenn, obwohl",2,,,,,Campus C1,28,,,,,,,
Europa,Eurōpa,Europa,,,"Europa [Bereits im 5. Jh. v. Chr. teilte der griech. Historiker und Geograf Herodot die Welt in die drei Erdteile Europa, Asien und Libyen (Afrika) ein. Diese Einteilung behielt in der gesamten Antike Gültigkeit.]",2,,,,,Campus C1,10,,,,,,,
Eurystheus,"Eurystheus, Eurysthei","Eurystheus, Eurysthei",Nomen,m,Eurystheus (mythischer König),1,,,,,Campus C1,27,,,,,,,
exercere,"exercēre, exerceō","exercere, exerceo",Verb,,"üben, trainieren; quälen",3,,,,,Campus C1,22,,,,,,,
exire,"exīre, exeō, exiī","exire, exeo, exii",,,"herausgehen, hinausgehen",2,,,,,Campus C1,37,,,,,,,
existimare,"exīstimāre, exīstimō","existimare, existimo",Verb,,"meinen, einschätzen",2,,,,,Campus C1,21,,,,,,,Top500
exspectare,"exspectāre, exspectō, exspectāvī","exspectare, exspecto, exspectavi",Verb,,"warten (auf), erwarten",2,,Harry: Expecto patronum,,,Campus C1,10,,"exspectō, exspectāvī",,,,,Top500
fabula,"fābula, fābulae","fabula, fabulae",Nomen,,"die Erzählung, die Geschichte, das Theaterstück",3,,,,,Campus C1,27,,,,,,,
facere,"facere, faciō, fēcī","facere, facio, feci",Verb,,"machen, tun, handeln",3,,,,,Campus C1,17;27,,,,,,,Top500
factum,"factum, facti","factum, facti",Nomen,,"die Handlung, die Tat, die Tatsache",3,,,,,Campus C1,26,,,,,,,Top500
familia,"familia, familiae","familia, familiae",Nomen,,die Familie,1,,,,,Campus C1,1,,,,,,,
Faustulus,Faustulus,Faustulus,,,Faustulus,1,"Hirte, der Romulus und Remus  entdeckte",,,,Campus C1,32,,,,,,,
ferrum,"ferrum, ferri","ferrum, ferri",Nomen,,das Eisen; die Waffe,2,,,,,Campus C1,31,,,,,,,Top500
filia,"fīlia, fīliae","filia, filiae",Nomen,,die Tochter,1,,,,,Campus C1,7,,,,,,,Top500
filius,"fīlius, filii","filius, filii",Nomen,,der Sohn,1,,,,,Campus C1,9,,filii,,,,,Top500
finis,"fīnis, fīnis","finis, finis",Nomen,m (Gen. Pl. -ium),"das Ende, die Grenze, das Ziel, der Zweck; Pl. das Gebiet",5,,,,,Campus C1,30,,,,,,,Top500
flere,"flēre, fleō, flēvī","flere, fleo, flevi",Verb,,"weinen, beweinen",2,,,,,Campus C1,5;25,,,,,,,
fluvius,"fluvius, fluvii","fluvius, fluvii",Nomen,,der Fluss,1,,,,,Campus C1,6,,,,,,,
fons,"fōns, fontis","fons, fontis",Nomen,m (Gen. Pl. -ium),"die Quelle, der Ursprung",2,,,,,Campus C1,23,,,,,,,
fortis,"fortis, e","fortis, e",,,"kräftig, tapfer",2,,,,,Campus C1,33,,,,,,,Top500
fortuna,"fortūna, fortūnae","fortuna, fortunae",Nomen,,"das Schicksal, das Glück",2,,,,,Campus C1,35,,,,,,,Top500
forum,"forum, fori","forum, fori",Nomen,,"das Forum, der Marktplatz",2,,,,,Campus C1,11,,,,,,,
frater,"frāter, frātris","frater, fratris",Nomen,m,der Bruder,1,,,,,Campus C1,20,,,,,,,Top500
frumentum,"frūmentum, frūmenti","frumentum, frumenti",Nomen,,das Getreide,1,,,,,Campus C1,11,,,,,,,Top500
fuga,"fuga, fugae","fuga, fugae",Nomen,,die Flucht,1,,Musik: Fuge. Englisch: refugee – Flüchtling,,,Campus C1,25,,fugae,,,,,Top500
fur,"fūr, fūris","fur, furis",Nomen,m,der Dieb,1,,,,,Campus C1,19,,fūris,,,,,
gaudere,"gaudēre, gaudeō","gaudere, gaudeo",Verb,,sich freuen,1,,,,,Campus C1,4,,,,,,,
gaudere (m. Abl.),gaudēre (m. Abl.),gaudere (m. Abl.),,m. Abl.,sich freuen über,1,,Gaudi,,,Campus C1,28,,m. Abl.,,,,,
gladiator,"gladiātor, gladiātōris","gladiator, gladiatoris",Nomen,m,der Gladiator,1,,,,,Campus C1,22,,,,,,,
gladius,"gladius, gladii","gladius, gladii",Nomen,,das Schwert,1,,Gladiator = Schwertkämpfer,,,Campus C1,5,,gladii,,,,,
gloria,"glōria, glōriae","gloria, gloriae",Nomen,,"der Ruhm, die Ehre",2,,,,,Campus C1,35,,,,,,,Top500
Graecus,"Graecus, a, um","Graecus, a, um",Adjektiv,,griechisch; Subst. der Grieche,2,,,,,Campus C1,18,,,,,,,
gratia,"grātia, grātiae","gratia, gratiae",Nomen,,der Dank,1,,,,,Campus C1,6,,,,,,,Top500
gratiam habere,grātiam habēre,gratiam habere,,,"danken, dankbar sein",2,,,,,Campus C1,6,,,,,,,
habere,"habēre, habeō","habere, habeo",Verb,,"haben, halten",2,,,,,Campus C1,6,,,,,,,Top500
habitare,"habitāre, habitō","habitare, habito",Verb,,"wohnen, bewohnen",2,,,,,Campus C1,10,,,,,,,
Hercules,"Herculēs, is","Hercules, is",Nomen,m,Herkules (sagenhafter Held),1,,,,,Campus C1,27,,,,,,,
heri,herī,heri,Adverb,Adv.,gestern,1,,,,,Campus C1,20,,,,,,,
hic,hīc,hic,Adverb,Adv.,hier,1,,,,,Campus C1,3,,,,,,,Top500
hodie,hodiē,hodie,Adverb,Adv.,heute,1,,,,,Campus C1,11,,,,,,,
homo,"homō, hominis","homo, hominis",Nomen,m,der Mensch,1,,,,,Campus C1,23,,,,,,,Top500
honestus,"honestus, a, um","honestus, a, um",Adjektiv,,"ehrenhaft, angesehen",2,,,,,Campus C1,29,,,,,,,
honor,"honor, honōris","honor, honoris",Nomen,m,"die Ehre, das Ehrenamt",2,,,,,Campus C1,18,,,,,,,Top500
hora,"hōra, hōrae","hora, horae",Nomen,,die Stunde,1,,,,,Campus C1,14,,,,,,,
