Headword,FullFormDisplay,FullFormNormalized,PartOfSpeech,NotesForeign,Meanings,NumberOfMeanings,NotesNative,MnemonicHint,PronunciationText,AudioUrl,ReferenceBook,ReferenceSection,Exercise1Front,Exercise1Back,Exercise2Front,Exercise2Back,Exercise3Front,Exercise3Back,Tags
avertere,"āvertere, āvertō, āvertī","avertere, averto, averti",Verb,,"abwenden, vertreiben",2,,,,,Campus C,42,,,,,,,
avus,"avus, avī","avus, avi",Nomen,,der Großvater,1,,,,,Campus C,1,,,,,,,
barbarus,"barbarus, a, um","barbarus, a, um",Adjektiv,,"ausländisch, unzivilisiert; Subst. Barbar",3,,,,,Campus C,40,,,,,,,Top500
basilica,"basilica, basilicae","basilica, basilicae",Nomen,,"die Markthalle, die Gerichtshalle",2,,,,,Campus C,12,,,,,,,
beatus,"beātus, a, um","beatus, a, um",Adjektiv,,"glücklich, reich",2,,,,,Campus C,36,,,,,,,
bellum,"bellum, bellī","bellum, belli",Nomen,n,der Krieg,1,,,,,Campus C,29,,,,,,,Top500
bellum gerere,bellum gerere,bellum gerere,,,Krieg führen,1,,,,,Campus C,29,,,,,,,
bene,bene,bene,Adverb,Adv.,gut,1,,,,,Campus C,4,,,,,,,Top500
beneficium,"beneficium, beneficiī","beneficium, beneficii",Nomen,,die Wohltat,1,,,,,Campus C,11,,,,,,,Top500
bestia,"bēstia, bēstiae","bestia, bestiae",Nomen,f,das (wilde) Tier,1,,,,,Campus C,21,,,,,,,Top500
bibere,"bibere, bibō, bibī","bibere, bibo, bibi",Verb,,trinken,1,,,,,Campus C,16;32,,,,,,,
bonus,"bonus, a, um","bonus, a, um",Adjektiv,,"gut, tüchtig",2,,Bonbon,,,Campus C,14,,,,,,,Top500
brevis,"brevis, brevis, breve","brevis, brevis, breve",,,kurz,1,,,,,Campus C,58,,,,,,,
cadere,"cadere, cadō, cecidī","cadere, cado, cecidi",Verb,,fallen,1,,,,,Campus C,26;28,,,,,,,
caedere,"caedere, caedō, cecīdī","caedere, caedo, cecidi",Verb,,"fällen, töten",2,,,,,Campus C,31,,,,,,,
caelum,"caelum, caelī","caelum, caeli",Nomen,n,der Himmel,1,,,,,Campus C,21,,,,,,,Top500
Caesar,"Caesar, Caesaris","Caesar, Caesaris",Nomen,m,"Gajus Julius Cäsar (röm. Politiker, Feldherr und Schriftsteller, 100-44 v. Chr.)",3,,,,,Campus C,51,,,,,,,
Caesare invito,Caesare invītō,Caesare invito,,,gegen den Willen Cäsars,1,,,,,Campus C,65,,,,,,,
calamitas,"calamitās, calamitātis","calamitas, calamitatis",Nomen,f,"der Schaden, das Unglück",2,,,,,Campus C,54,,,,,,,
Campania,"Campānia, Campāniae","Campania, Campaniae",Nomen,,Kampanien,1,Landschaft südlich von Rom,,,,Campus C,16,,,,,,,
campus,"campus, campī","campus, campi",Nomen,m,"das Feld, der freie Platz",2,,,,,Campus C,1,,,,,,,
cantare,"cantāre, cantō, cantāvī, cantātum","cantare, canto, cantavi, cantatum",Verb,,"singen, dichten",2,,,,,Campus C,50,,,,,,,
capere,"capere, capiō, cēpī, captum","capere, capio, cepi, captum",Verb,,"fassen, nehmen, fangen; erobern",4,,"kapieren, kapern",,,Campus C,17;27;48,,,,,,,Top500
Capitolium,"Capitōlium, Capitōliī","Capitolium, Capitolii",Nomen,,das Kapitol,1,Bedeutendster Hügel Roms,,,,Campus C,11,,,,,,,
captivus,"captīvus, captīvī","captivus, captivi",Nomen,m,der Kriegsgefangene,1,,,,,Campus C,9,,,,,,,
caput,"caput, capitis","caput, capitis",Nomen,n,der Kopf; die Hauptstadt,2,,,,,Campus C,51,,,,,,,Top500
carere,"carēre, careō, caruī, caritum","carere, careo, carui, caritum",Verb,m. Abl.,"frei sein von, ohne (etwas) sein, nicht haben",3,,,,,Campus C,28,,,,,,,
carmen,"carmen, carminis","carmen, carminis",Nomen,n,"das Gedicht, das Lied",2,,,,,Campus C,50,,,,,,,
carrus,"carrus, carrī","carrus, carri",Nomen,m,"der Wagen, der Karren",2,,,,,Campus C,16,,,,,,,
Carthago,"Carthāgō, Carthāginis","Carthago, Carthaginis",Nomen,f,Karthago,1,Stadt in Nordafrika,,,,Campus C,30,,,,,,,
carus,"cārus, a, um","carus, a, um",Adjektiv,,"lieb, teuer, wertvoll",3,,,,,Campus C,20,,,,,,,
castra,"castra, castrōrum","castra, castrorum",Nomen,n Plural,das Lager,1,,,,,Campus C,26,,,,,,,Top500
causa,"causa, causae","causa, causae",Nomen,f,"die Sache, die Ursache, der Grund; der Prozess",4,,,,,Campus C,53,,,,,,,Top500
cedere,"cēdere, cēdō, cessī","cedere, cedo, cessi",Verb,,"gehen, nachgeben, weichen",3,,,,,Campus C,29,,,,,,,
celer,"celer, celeris, celere","celer, celeris, celere",Adjektiv,,schnell,1,,,,,Campus C,32,,,,,,,Top500
cena,"cēna, cēnae","cena, cenae",Nomen,,"die Mahlzeit, das Essen",2,,,,,Campus C,8,,,,,,,
cenare,"cēnāre, cēnō, cēnāvī, cēnātum","cenare, ceno, cenavi, cenatum",Verb,,essen,1,,,,,Campus C,9,,,,,,,
censere,"cēnsēre, cēnseō, cēnsuī, census","censere, censeo, censui, census",Verb,m. Akk.,"meinen, einschätzen; seine Stimme abgeben (für)",3,,,,,Campus C,40,,,,,,,
centum,centum,centum,,indekl.,hundert,1,,,,,Campus C,46,,,,,,,
Cerberus,"Cerberus, Cerberī","Cerberus, Cerberi",Nomen,,Zerberus,1,Der dreiköpfige Höllenhund,,,,Campus C,28,,,,,,,
certe,certē,certe,Adverb,/ certō Adv.,"gewiss, sicherlich",2,,,,,Campus C,29,,,,,,,
certe / certo,certē / certō,certe / certo,Adverb,Adv.,"gewiss, sicherlich",2,,,,,Campus C,29,,,,,,,
certus,"certus, a, um","certus, a, um",Adjektiv,,"sicher, bestimmt",2,,,,,Campus C,49,,,,,,,Top500
cessare,"cessāre, cessō, cessāvī, cessātum","cessare, cesso, cessavi, cessatum",Verb,,"zögern, rasten",2,,,,,Campus C,64,,,,,,,
ceteri,"cēterī, ae, a","ceteri, ae, a",Adjektiv,Plural,die übrigen,1,,,,,Campus C,21,,,,,,,Top500
cibus,"cibus, cibī","cibus, cibi",Nomen,,"die Nahrung, die Speise, das Futter",3,,,,,Campus C,6,,,,,,,
circiter,circiter,circiter,Adverb,Adv.,ungefähr,1,,,,,Campus C,46,,,,,,,
circum,circum (m. Akk.),circum (m. Akk.),Präposition,,"rings um, um ... herum",2,,,,,Campus C,31,,,,,,,
circumdare,"circúmdare, circumdō, circumdedī, circumdatum","circumdare, circumdo, circumdedi, circumdatum",Verb,,umgeben,1,,,,,Campus C,59,,,,,,,
civis,"cīvis, cīvis","civis, civis",Nomen,m/f (Genitiv Plural: civium),"der Bürger, die Bürgerin",2,,,,,Campus C,30,,,,,,,Top500
civitas,"cīvitās, cīvitātis","civitas, civitatis",Nomen,f,"die Gemeinde, der Staat",2,,,,,Campus C,20,,,,,,,Top500
clamare,"clāmāre, clāmō, clāmāvī, clāmātum","clamare, clamo, clamavi, clamatum",Verb,,"laut rufen, schreien",2,,,,,Campus C,13,,,,,,,
clamor,"clāmor, clāmōris","clamor, clamoris",Nomen,m,"das Geschrei, der Lärm",2,,,,,Campus C,19,,,,,,,
clarus,"clārus, a, um","clarus, a, um",Adjektiv,,"klar, hell, berühmt",3,,,,,Campus C,15,,,,,,,Top500
classis,"classis, classis","classis, classis",Nomen,f,"die Abteilung, die Flotte",2,,,,,Campus C,42,,,,,,,Top500
claudere,"claudere, claudō","claudere, claudo",Verb,,"schließen, abschließen, einschließen",3,,,,,Campus C,38,,,,,,,
clementia,"clēmentia, clēmentiae","clementia, clementiae",Nomen,f,"die Milde, die Nachsicht",2,,,,,Campus C,9,,,,,,,
Cleopatra,"Cleopatra, Cleopatrae","Cleopatra, Cleopatrae",Nomen,f,Kleopatra VII. (letzte Königin Ägyptens von 51-30 v. Chr.,1,,,,,Campus C,53,,,,,,,
cogere,"cōgere, cōgō, coēgī","cogere, cogo, coegi",Verb,,(ver)sammeln; zwingen,2,,,,,Campus C,39,,,,,,,Top500
cogitare,"cōgitāre, cōgitō, cōgitāvī, cōgitātum","cogitare, cogito, cogitavi, cogitatum",Verb,,"denken, beabsichtigen",2,,,,,Campus C,30,,,,,,,
cognoscere,"cognōscere, cognōscō, cognōvī, cognitum","cognoscere, cognosco, cognovi, cognitum",Verb,,"erkennen, kennenlernen; Perf. kennen, wissen",4,,,,,Campus C,39;63,,,,,,,Top500
cohors,"cohors, cohortis","cohors, cohortis",Nomen,f,die Kohorte (ca. 600 Mann),1,,,,,Campus C,51,,,,,,,
colere,"colere, colō, coluī, cultum","colere, colo, colui, cultum",Verb,,"bewirtschaften, pflegen; verehren",3,,,,,Campus C,64,,,,,,,Top500
collocare,"collocāre, collocō","collocare, colloco",Verb,,"aufstellen, unterbringen",2,,,,,Campus C,38,,,,,,,
comes,"comes, comitis","comes, comitis",Nomen,m/f,"der Begleiter, die Begleiterin, der Gefährte, die Gefährtin",4,,,,,Campus C,32,,,,,,,
commodum,"commodum, commodī","commodum, commodi",Nomen,n,"Bequemlichkeit, Vorteil",2,,,,,Campus C,66,,,,,,,
commovere,"commovēre, commoveō, commōvī, commōtum","commovere, commoveo, commovi, commotum",Verb,,"bewegen, veranlassen",2,,,,,Campus C,57,,,,,,,
communis,"commūnis, commūnis, commūne","communis, communis, commune",Adjektiv,,"gemeinsam, allgemein",2,,,,,Campus C,35,,,,,,,Top500
comperire,"comperīre, comperiō, comperī, compertum","comperire, comperio, comperi, compertum",Verb,,(genau) erfahren,1,,,,,Campus C,60,,,,,,,
complere,"complēre, compleō, complēvī, complētum","complere, compleo, complevi, completum",Verb,,"anfüllen, auffüllen",2,,,,,Campus C,6;25,,,,,,,
complures,"complūrēs, complūra","complures, complura",,Genitiv -ium,mehrere,1,,,,,Campus C,46,,,,,,,Top500
comprehendere,"comprehendere, comprehendō, comprehendī, comprehēnsum","comprehendere, comprehendo, comprehendi, comprehensum",Verb,,"begreifen, ergreifen, festnehmen",3,,,,,Campus C,24;27;48,,,,,,,
concedere,"concēdere, concēdō, concessī, concessum","concedere, concedo, concessi, concessum",Verb,,"erlauben, nachgeben, zugestehen",3,,,,,Campus C,36,,,,,,,
concordia,"concordia, concordiae","concordia, concordiae",Nomen,f,"die Eintracht, die Einigkeit",2,,,,,Campus C,37,,,,,,,
Concordia,"Concordia, Concordiae","Concordia, Concordiae",Nomen,,Concordia,1,Göttin der Eintracht,,,,Campus C,11,,,,,,,
condere,"condere, condō, condidī, conditum","condere, condo, condidi, conditum",Verb,,"verwahren, verbergen; erbauen, gründen",4,,,,,Campus C,34;55,,,,,,,
condicio,"condiciō, condiciōnis","condicio, condicionis",Nomen,f,"die Bedingung, die Lage",2,,,,,Campus C,57,,,,,,,
conferre,"cōnferre, cōnferō, cōntulī, collātum","conferre, confero, contuli, collatum",,,"vergleichen, zusammentragen",2,,,,,Campus C,70,,,,,,,Top500
conficere,"cōnficere, cōnficiō, cōnfēcī, cōnfectum","conficere, conficio, confeci, confectum",Verb,,"fertig machen, beenden",2,,,,,Campus C,44;63,,,,,,,
confirmare,"cōnfirmāre, cōnfirmō, cōnfirmāvī, cōnfirmātum","confirmare, confirmo, confirmavi, confirmatum",Verb,,"bekräftigen, ermutigen, stärken",3,,,,,Campus C,37,,,,,,,
conicere,"conicere, coniciō, coniēcī, coniectum","conicere, conicio, conieci, coniectum",Verb,,"(zusammen)werfen, folgern, vermuten",3,,,,,Campus C,38,,,,,,,Top500
